,id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
555250,555250,17625,3,15.61,616.26,D,D1,812,3 years,1,42000,2,2015/8/1,0,4,177,26,17.37,0,660,664,8,0,0,17875,85.9,9,1,0,2010/10/1,4,1,0,4,6,6,4,5,1,7,8,6,8,0,0,0,0
747350,747350,12000,3,6.24,366.37,A,A2,420,10+ years,0,74000,0,2015/5/1,0,2,108,21,28.79,0,750,754,14,0,0,3739,19.5,25,0,0,2010/10/2,5,1,0,1,3,3,6,6,7,10,13,3,14,0,0,0,1
710824,710824,28000,3,7.9,876.13,A,A4,239633,10+ years,2,90000,0,2013/2/1,0,0,495,14,9.43,0,730,734,4,0,0,34578,78.8,21,1,0,2010/10/3,628,1,0,2,2,2,4,10,1,4,19,2,4,0,0,0,0
728647,728647,12000,3,11.99,398.52,B,B3,54073,6 years,0,62000,1,2013/10/1,0,4,481,0,17.55,0,670,674,10,0,0,20085,72.2,26,0,0,2010/10/4,342,1,0,4,5,5,4,7,13,5,8,5,10,0,0,0,0
473045,473045,12000,5,18.99,311.23,D,D4,132699,2 years,0,69000,0,2016/4/1,0,0,339,26,23.72,0,705,709,18,0,0,7774,36.5,27,0,0,2010/10/5,0,1,0,2,5,5,2,5,18,5,8,5,18,0,0,0,2
422567,422567,10000,3,13.11,337.47,B,B4,233971,8 years,0,46000,1,2013/1/1,0,3,85,19,11.87,0,670,674,9,0,0,4216,76.7,23,1,0,2010/10/6,71,1,5,4,4,4,5,12,6,6,16,4,9,0,0,0,1
389242,389242,12000,3,11.47,395.55,B,B5,7820,5 years,0,52000,2,2016/3/1,0,0,77,7,18.19,0,685,689,17,0,0,17207,39.6,63,0,0,2010/10/7,0,1,0,3,8,8,5,9,41,14,20,8,17,0,0,0,4
186958,186958,5000,3,14.08,171.09,C,C3,122193,1 year,0,46000,0,2017/7/1,0,0,144,5,26.61,0,665,669,3,0,0,3026,75.7,5,0,0,2010/10/8,0,1,0,1,1,1,1,1,2,1,2,1,3,0,0,0,3
47558,47558,4000,3,18.99,146.61,E,E1,1087,7 years,1,56000,2,2015/12/1,1,0,99,8,20.94,1,660,664,7,0,0,688,42.1,15,0,0,2010/10/9,0,1,1,3,3,3,3,3,12,3,3,3,7,0,0,0,5
23781,23781,5000,3,15.05,173.45,C,C4,367612,4 years,1,39500,2,2017/10/1,0,0,265,7,22.45,0,685,689,10,0,0,3855,47.6,15,1,0,2010/10/10,0,1,1,4,4,4,4,5,10,4,5,4,10,0,0,0,4
612884,612884,35000,5,19.99,927.1,E,E4,36887,10+ years,0,114000,2,2015/10/1,0,2,120,21,19.2,0,685,689,14,0,0,16840,48.1,27,1,0,2010/10/11,5,1,0,3,6,6,3,4,9,10,15,6,14,0,0,0,5
501748,501748,6000,3,10.75,195.73,B,B4,54,,0,26000,0,2016/5/1,0,0,356,32,35.44,1,680,684,22,0,0,9749,25.9,46,0,0,2010/10/12,0,1,1,9,12,12,12,21,4,20,39,12,22,0,0,1,1
55560,55560,12800,3,7.21,396.46,A,A3,118110,4 years,1,180000,1,2017/8/1,0,0,51,13,13.79,0,710,714,14,0,0,25926,61.9,23,0,0,2010/10/13,0,1,0,5,5,5,5,5,14,6,7,5,14,0,0,0,4
134886,134886,10000,3,12.79,335.93,C,C1,48,4 years,1,40000,2,2016/6/1,0,1,162,2,21.93,0,665,669,7,1,1,12232,82.6,14,1,0,2010/10/14,1,1,0,5,6,6,5,5,6,6,7,6,7,0,0,0,0
702415,702415,15000,3,11.99,498.15,B,B5,301,10+ years,1,85000,1,2017/6/1,0,0,184,26,15.39,1,660,664,10,0,0,9661,69,16,0,0,2010/10/15,0,1,0,5,8,8,5,6,6,9,10,8,10,0,0,0,1
18840,18840,21600,3,17.09,771.07,D,D1,1023,< 1 year,1,35000,1,2017/5/1,0,0,418,45,36.28,0,695,699,12,1,0,4586,53.3,16,1,1,2010/10/16,0,1,0,3,5,5,3,3,9,6,7,5,12,0,0,0,3
543187,543187,13025,5,25.57,386.67,F,F5,5210,< 1 year,1,60000,2,2014/6/1,0,0,99,8,9.58,0,660,664,10,0,0,7578,58.7,12,0,0,2010/10/17,0,1,0,3,7,7,3,3,3,9,9,7,8,0,0,0,4
686224,686224,9500,3,5.32,286.1,A,A1,151587,10+ years,0,91100,1,2016/3/1,0,0,424,24,11.36,0,705,709,18,2,0,10609,28.4,27,0,0,2010/10/18,0,1,0,8,9,9,13,15,3,15,18,9,18,0,0,0,9
713008,713008,19650,5,25.99,588.22,G,G4,21662,10+ years,0,58000,2,2015/1/1,1,0,614,3,27.5,0,670,674,12,2,0,6116,63.1,46,1,0,2010/10/19,0,1,3,1,5,5,2,5,34,7,11,5,12,0,0,0,7
768883,768883,8000,3,11.99,265.68,C,C1,148,2 years,1,33800,2,2015/12/1,1,0,176,3,26.63,0,670,674,10,1,1,6517,74.9,18,0,0,2010/10/20,0,1,2,4,5,5,5,9,7,7,11,5,10,0,0,0,4
193627,193627,5000,3,8.49,157.82,B,B1,19,6 years,1,65000,0,2016/1/1,1,5,235,8,7,1,665,669,17,2,1,20868,44,45,0,0,2010/10/21,6,1,0,7,8,8,9,25,3,17,39,9,17,0,0,0,3
718554,718554,20000,3,11.99,664.2,C,C1,36289,1 year,1,160000,1,2016/5/1,0,0,459,8,7.81,1,690,694,10,2,1,7318,46.6,20,0,0,2010/10/22,0,1,0,5,5,5,6,7,8,8,12,5,10,0,0,0,1
559968,559968,28000,3,10.75,913.38,B,B4,4799,2 years,0,60000,0,2016/4/1,0,4,103,36,23.66,0,700,704,9,0,0,34167,72.5,10,0,0,2010/10/23,4,1,0,4,5,5,4,4,2,7,7,5,9,0,0,0,1
251795,251795,27975,3,19.99,1039.51,E,E3,666,2 years,0,100000,1,2014/11/1,0,0,225,18,17.72,1,700,704,10,2,1,9174,57,22,0,0,2010/10/24,0,1,0,2,3,3,4,5,9,6,10,3,10,0,0,0,3
752774,752774,10500,3,15.05,364.25,C,C4,334,2 years,1,50000,0,2017/6/1,1,4,698,35,22.68,0,660,664,9,0,0,16898,90,14,1,0,2010/10/25,4,1,0,5,7,7,9,9,2,7,12,6,9,,0,0,3
507428,507428,5000,3,12.49,167.25,B,B5,92962,5 years,0,32584,1,2014/7/1,0,0,516,9,29.94,0,675,679,16,2,2,5757,32.3,48,1,0,2010/10/26,0,1,0,5,8,8,5,25,9,11,36,8,16,0,0,0,4
769189,769189,11150,5,26.57,337.61,F,F5,16008,10+ years,0,95000,1,2016/2/1,0,0,431,20,30.55,1,670,674,9,0,0,41015,91.3,48,0,0,2010/10/27,0,1,0,3,4,4,3,8,19,6,19,5,9,0,0,0,0
30502,30502,28525,5,11.49,627.2,B,B5,320,3 years,2,120000,0,2017/2/1,1,4,499,13,13.5,0,710,714,8,0,0,20697,58.5,17,0,0,2010/10/28,4,1,0,3,3,3,5,6,8,5,9,3,8,0,0,0,2
101664,101664,15000,3,12.49,501.74,B,B4,2,< 1 year,1,40000,1,2014/5/1,0,4,107,30,16.89,0,670,674,13,0,0,17644,59.2,19,0,0,2010/10/29,4,1,0,5,9,9,6,7,2,13,17,9,13,0,0,0,4
325432,325432,13200,3,16.29,465.97,D,D1,49,< 1 year,0,90000,2,2016/5/1,0,0,166,8,9.89,0,660,664,8,0,0,4644,55.3,17,1,0,2010/10/30,0,1,2,3,6,6,4,7,2,8,14,6,8,0,0,0,0
290537,290537,4000,3,15.61,139.86,D,D1,191389,4 years,1,39500,0,2014/7/1,1,0,504,11,28.87,0,665,669,9,1,1,3788,34,20,0,0,2010/10/31,0,1,0,2,6,6,3,3,11,6,9,6,9,,0,0,5
742322,742322,24175,5,25.28,713.55,F,F5,286573,4 years,0,125000,1,2013/7/1,1,0,153,11,6.97,0,695,699,5,0,0,7334,80.6,7,1,0,2010/11/1,0,1,0,2,4,4,2,3,1,4,6,4,5,0,0,0,1
73676,73676,35000,3,17.27,1252.56,D,D3,143469,< 1 year,2,141000,1,2016/1/1,0,4,19,14,18.75,0,670,674,15,0,0,8214,29.4,39,0,0,2010/11/2,4,1,0,3,5,5,5,13,12,11,22,5,15,0,0,0,3
468086,468086,6000,3,13.49,203.59,C,C2,122682,10+ years,1,45000,1,2017/1/1,1,9,51,13,13.92,0,665,669,16,0,0,13387,46.3,24,0,0,2010/11/3,10,1,3,2,10,10,2,5,3,16,21,10,16,0,0,0,3
743674,743674,15000,3,8.99,476.93,B,B1,20,3 years,1,68000,0,2016/8/1,0,4,33,22,8.51,2,670,674,24,0,0,13232,65.8,55,0,0,2010/11/4,4,1,0,4,8,8,4,9,35,9,19,8,24,0,0,0,0
468284,468284,10000,3,8.9,317.54,A,A5,658,10+ years,0,125000,2,2014/5/1,0,2,135,33,5.27,0,685,689,10,1,1,1510,8,33,0,0,2010/11/5,5,1,1,2,4,4,2,10,11,8,21,4,10,0,0,0,3
260211,260211,11000,3,9.17,350.67,B,B2,76464,10+ years,0,42000,0,2015/5/1,0,0,526,20,19.11,0,660,664,8,0,0,5530,55.3,36,0,0,2010/11/6,0,1,4,1,3,3,1,8,9,5,26,3,8,0,0,0,2
650373,650373,11325,3,16.78,402.53,C,C5,286063,5 years,0,70000,2,2013/7/1,0,5,152,14,23.11,0,685,689,14,0,0,18184,75.8,26,1,0,2010/11/7,6,1,0,3,8,8,3,5,10,10,14,8,14,0,0,0,0
383200,383200,18000,3,14.99,623.89,C,C4,3239,10+ years,0,90000,0,2017/3/1,0,4,78,19,15.4,0,685,689,9,0,0,17355,55.3,22,0,0,2010/11/8,4,1,1,3,3,3,4,6,8,6,11,3,9,0,0,0,3
325339,325339,12000,5,16.69,296.24,E,E3,235438,< 1 year,0,250000,2,2011/1/1,0,3,16,5,1.42,4,670,674,5,0,0,427,23.7,43,1,0,2010/11/9,9561,1,,,,,,,,,,,,,,,
39098,39098,4200,3,9.49,134.52,B,B2,12,1 year,2,32000,2,2016/6/1,0,0,88,32,16.58,0,660,664,10,1,1,14000,55.1,15,0,0,2010/11/10,0,1,0,6,10,10,6,7,2,10,12,10,10,0,0,0,1
237590,237590,7000,3,12.49,234.15,B,B5,1133,10+ years,0,90000,2,2014/10/1,0,4,495,14,22.39,0,675,679,13,0,0,10246,57.9,22,1,0,2010/11/11,4,1,0,5,7,7,5,6,7,9,11,7,13,0,0,0,6
3793,3793,35000,5,21.97,966.07,E,E4,695,7 years,0,200000,2,2016/3/1,1,4,373,13,18.69,0,695,699,30,0,0,82654,97.6,61,0,0,2010/11/12,4,1,0,5,13,13,5,8,34,13,26,13,30,0,0,0,4
497509,497509,4000,3,12.62,134.05,C,C1,1972,10+ years,0,78000,2,2017/8/1,0,2,386,19,22.25,0,680,684,7,0,0,29278,101,17,1,0,2010/11/13,5,1,0,4,4,4,4,5,8,4,6,4,7,0,0,0,2
112923,112923,23025,3,9.17,734.02,B,B2,54,,0,48000,0,2015/11/1,0,4,508,2,22.8,1,695,699,11,0,0,25170,25.5,20,0,0,2010/11/14,4,1,1,3,8,8,4,4,6,9,10,8,11,0,0,1,0
669655,669655,3000,3,17.14,107.17,D,D4,218,1 year,1,40000,2,2015/1/1,0,0,493,42,35.49,0,700,704,14,0,0,1663,55.4,27,0,0,2010/11/15,0,1,3,1,3,3,1,4,18,3,8,3,14,0,0,0,6
684241,684241,4500,3,17.77,162.17,D,D1,327083,4 years,1,45000,0,2012/11/1,0,4,140,8,16.27,0,665,669,9,0,0,5540,46.6,11,1,0,2010/11/16,21153,1,0,4,4,4,6,6,4,6,7,4,9,0,0,0,3
700986,700986,5500,3,13.05,185.45,B,B5,281115,4 years,1,62000,0,2013/8/1,0,4,530,22,12.19,0,690,694,7,1,1,6917,76.9,20,1,0,2010/11/17,252,1,0,2,2,2,2,5,13,3,7,2,7,0,0,0,1
321090,321090,15000,3,8.18,471.3,B,B1,2309,10+ years,1,80000,2,2015/3/1,0,4,466,36,6.47,0,670,674,8,3,3,13038,65.2,10,1,0,2010/11/18,4,1,0,4,6,6,5,6,0,7,8,6,8,0,0,0,0
320487,320487,12000,5,15.99,291.76,C,C5,146761,10+ years,1,72000,0,2017/4/1,0,6,273,8,20.82,1,670,674,10,0,0,2440,19.8,51,0,0,2010/11/19,7,1,4,4,5,5,4,8,31,6,19,5,10,0,0,1,0
445426,445426,12000,5,18.25,306.36,E,E1,7294,< 1 year,1,30000,1,2015/6/1,0,0,116,14,22.44,0,670,674,6,0,0,4756,34.5,7,0,0,2010/11/20,0,1,0,3,3,3,4,4,1,5,5,3,6,0,0,0,1
591782,591782,15000,3,9.75,482.25,B,B3,36576,5 years,0,140000,0,2016/2/1,0,4,134,8,24.72,1,730,734,21,0,0,14249,12.4,43,0,0,2010/11/21,2,1,0,4,5,5,7,9,10,16,27,5,20,0,1,0,3
